Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Different Seasons,Stephen  King,"King, Stephen",,,,4,4.36,508,1983,1982,,10/3/07,,,read
The Inheritors,William Golding,"Golding, William",,156443791,9.78016E+12,0,3.51,233,1963,1955,,10/10/13,to-read,to-read (#111),to-read
Tourist Season,Carl Hiaasen,"Hiaasen, Carl",,446695718,9.78045E+12,0,3.91,404,2005,1986,,10/10/13,to-read,to-read (#110),to-read
Shaman,Kim Stanley Robinson,"Robinson, Kim Stanley",,316098078,9.78032E+12,0,3.77,456,2013,2013,,10/10/13,to-read,to-read (#109),to-read
Shantaram,Gregory David Roberts,"Roberts, Gregory David",,192076920X,9.78192E+12,0,4.28,936,2004,2003,,8/19/13,to-read,to-read (#108),to-read
Then We Came to the End,Joshua Ferris,"Ferris, Joshua",,316016381,9.78032E+12,0,3.46,387,2007,2007,,8/19/13,to-read,to-read (#107),to-read
Beasts!: Book Two,Jacob Covey,"Covey, Jacob",,1560979496,9.78156E+12,0,4.23,216,2008,2008,,7/30/13,to-read,to-read (#106),to-read
Beasts! Book One,Jacob Covey,"Covey, Jacob",,156097768X,9.78156E+12,0,4.24,200,2007,2007,,7/30/13,to-read,to-read (#105),to-read
20th Century Ghosts,Joe Hill,"Hill, Joe",,61147974,9.78006E+12,0,3.89,316,2007,2005,,7/30/13,to-read,to-read (#104),to-read
Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,345350472,9.78035E+12,0,4.09,265,2007,1968,,8/31/12,to-read,to-read (#89),to-read
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,,,5,4.42,1009,2002,1998,,7/9/13,,,read
Start Your Own Corporation: Why the Rich Own Their Own Companies and Everyone Else Works for Them (Rich Dad's Advisors),Garrett Sutton,"Sutton, Garrett",,1937832007,9.78194E+12,0,4.15,272,2012,2012,,6/27/13,to-read,to-read (#103),to-read
Dad Is Fat,Jim Gaffigan,"Gaffigan, Jim",,038534905X,9.78039E+12,0,3.78,275,2013,2013,,5/2/13,to-read,to-read (#102),to-read
Cooked: A Natural History of Transformation,Michael Pollan,"Pollan, Michael",,1594204217,9.78159E+12,0,4.08,468,2013,2013,,5/2/13,to-read,to-read (#101),to-read
Warren Buffett: An Illustrated Biography of the World's Most Successful Investor,Ayano Morio,"Morio, Ayano",,470821531,9.78047E+12,0,3.82,120,2004,2004,,5/2/13,to-read,to-read (#100),to-read
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,812511816,9.78081E+12,0,4.19,800,1990,1990,,1/8/13,to-read,to-read (#99),to-read
While Mortals Sleep: Unpublished Short Fiction,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,385343736,9.78039E+12,5,3.84,272,2011,2011,,11/12/12,,,read
"Ranger Confidential: Living, Working, And Dying In The National Parks",Andrea Lankford,"Lankford, Andrea",,762752637,9.78076E+12,0,4.04,246,2010,2010,,10/12/12,to-read,to-read (#98),to-read
Lucky Jim,Kingsley Amis,"Amis, Kingsley",David Lodge,140186301,9.78014E+12,0,3.75,296,1992,1954,,10/11/12,to-read,to-read (#97),to-read
"Tales of Terror from the Tunnel's Mouth (Tales of Terror, #3)",Chris Priestley,"Priestley, Chris",David   Roberts,1408800144,9.78141E+12,0,4.08,258,2010,2009,,10/5/12,to-read,to-read (#96),to-read
"Tales of Terror from the Black Ship (Tales of Terror, #2)",Chris Priestley,"Priestley, Chris",David   Roberts,1599902907,9.7816E+12,0,4.13,243,2008,2008,,10/5/12,to-read,to-read (#95),to-read
"Uncle Montague's Tales of Terror (Tales of Terror, #1)",Chris Priestley,"Priestley, Chris",David Roberts,1599901188,9.7816E+12,4,4.06,238,2007,2007,,10/5/12,,,read
"In a Glass Grimmly (A Tale Dark & Grimm, #2)",Adam Gidwitz,"Gidwitz, Adam",,1101591617,9.7811E+12,0,4.22,192,2012,2012,,9/5/12,to-read,to-read (#94),to-read
"Makeshift Workshop Skills for Survival and Self-Reliance: Expedient Ways to Make Your Own Tools, Do Your Own Repairs and Construct Useful Things Out of Raw and Salvaged Materials",James Ballou,"Ballou, James",Charlie Richie,1581607059,9.78158E+12,0,3.89,220,2009,2009,,8/31/12,to-read,to-read (#93),to-read
Snow Crash,Neal Stephenson,"Stephenson, Neal",,553380958,9.78055E+12,0,4.01,438,2000,1992,,8/31/12,to-read,to-read (#92),to-read
The Stand,Stephen  King,"King, Stephen",Bernie Wrightson,,,0,4.35,1152,1990,1978,,8/31/12,to-read,to-read (#91),to-read
Logan's Run,William F. Nolan,"Nolan, William F.",George Clayton Johnson,553025171,9.78055E+12,0,3.64,149,1976,1967,,8/31/12,to-read,to-read (#90),to-read
Redshirts,John Scalzi,"Scalzi, John",,765316994,9.78077E+12,0,3.87,320,2012,2012,,8/31/12,to-read,to-read (#88),to-read
Four Color Fear: Forgotten Horror Comics Of The 1950s,Greg Sadowski,"Sadowski, Greg","Greg Sadowski, John Benson",1606993437,9.78161E+12,0,4.16,304,2010,2010,,8/29/12,to-read,to-read (#87),to-read
Dark Harvest,Norman Partridge,"Partridge, Norman",,076531911X,9.78077E+12,0,3.59,169,2007,2006,,8/29/12,to-read,to-read (#86),to-read
Magic Street,Orson Scott Card,"Card, Orson Scott",,345416902,9.78035E+12,0,3.27,416,2006,2005,,8/29/12,to-read,to-read (#85),to-read
Otherland 1 - 4 Boxed Set,Tad Williams,"Williams, Tad",Hans-Ulrich Möhring,3608934251,9.78361E+12,0,4.32,3610,2004,2004,,8/29/12,to-read,to-read (#84),to-read
"Land of Nod, The Artifact (Land of Nod #1)",Gary  Hoover,"Hoover, Gary",,,9.78062E+12,0,3.73,330,2011,2010,,8/3/12,to-read,to-read (#83),to-read
"The Talisman (The Talisman, #1)",Stephen  King,"King, Stephen",Peter Straub,375507779,9.78038E+12,0,4.11,656,2001,1984,,8/3/12,to-read,to-read (#82),to-read
Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,385333781,9.78039E+12,0,3.91,341,2006,1952,,8/3/12,to-read,to-read (#81),to-read
The Magician King (The Magicians #2),Lev Grossman,"Grossman, Lev",,670022314,9.78067E+12,4,3.93,400,2011,2011,,8/7/11,,,read
The Rats in the Walls,H.P. Lovecraft,"Lovecraft, H.P.",,2266150227,9.78227E+12,0,3.97,42,2005,1924,,7/6/12,to-read,to-read (#80),to-read
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,067168390X,9.78067E+12,4,4.57,960,1999,1985,,7/7/11,,,read
Steve Jobs,Walter Isaacson,"Isaacson, Walter",,1451648537,9.78145E+12,4,4.16,630,2011,2011,,5/14/12,,,read
100 Things Every Designer Needs to Know About People,Susan M. Weinschenk,"Weinschenk, Susan M.",,321767535,9.78032E+12,0,4.09,242,2011,2011,,4/4/12,to-read,to-read (#79),to-read
"Pulp: Charles Bukowski's Final Hardboiled Noir Comedy – Lady Death, Aliens, and the Absurd",Charles Bukowski,"Bukowski, Charles",,876859260,9.78088E+12,0,3.67,208,2002,1994,,2/6/11,to-read,to-read (#39),to-read
Tiny Homes: Simple Shelter (The Shelter Library of Building Books),Lloyd Kahn,"Kahn, Lloyd",,936070528,9.78094E+12,0,4.16,228,2012,2012,,1/19/12,to-read,to-read (#78),to-read
Island of the Sequined Love Nun,Christopher Moore,"Moore, Christopher",,60735449,9.78006E+12,4,3.81,325,2004,1997,,1/5/12,,,read
Pulphead,John Jeremiah Sullivan,"Sullivan, John Jeremiah",,374532907,9.78037E+12,0,4,365,2011,2011,,12/31/11,to-read,to-read (#77),to-read
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,439023513,9.78044E+12,3,4.12,390,2010,2010,,12/29/11,,,read
Daytripper,Fábio Moon,"Moon, Fábio","Gabriel Bá, Craig Thompson, Dave  Stewart, Sean Konot",1401229697,9.7814E+12,0,4.33,256,2011,2011,,11/10/11,to-read,to-read (#76),to-read
"Vector Prime (Star Wars: The New Jedi Order, #1)",R.A. Salvatore,"Salvatore, R.A.",,345479335,9.78035E+12,0,3.85,416,2004,1999,,11/1/11,to-read,to-read (#75),to-read
The History of Money,Jack Weatherford,"Weatherford, Jack",,609801724,9.78061E+12,0,3.92,304,1998,1997,,10/31/11,to-read,to-read (#74),to-read
Live Off the Land in the City and Country,Ragnar Benson,"Benson, Ragnar",,873642007,9.78087E+12,0,4.27,272,1982,1981,,10/27/11,to-read,to-read (#73),to-read
The Dream Life of Balso Snell,Nathanael West,"West, Nathanael",,486433897,9.78049E+12,0,3.25,59,2004,1931,,10/23/11,to-read,to-read (#72),to-read
The Cry of the Owl,Patricia Highsmith,"Highsmith, Patricia",,99282976,9.7801E+12,0,3.75,270,1999,1962,,10/23/11,to-read,to-read (#71),to-read
"King Dork (King Dork, #1)",Frank Portman,"Portman, Frank",,385732910,9.78039E+12,0,3.55,352,2006,2006,,10/23/11,to-read,to-read (#70),to-read
I Am the Cheese,Robert Cormier,"Cormier, Robert",,141300515,9.78014E+12,0,3.78,233,1998,1977,,10/23/11,to-read,to-read (#69),to-read
Zone One,Colson Whitehead,"Whitehead, Colson",,385528078,9.78039E+12,0,3.24,259,2011,2011,,10/21/11,to-read,to-read (#68),to-read
Shadow Warriors: Inside the Special Forces (Commanders),Tom Clancy,"Clancy, Tom","Carl Stiner, Tony Koltz",330480731,9.78033E+12,0,3.82,560,2003,2001,,10/21/11,to-read,to-read (#67),to-read
"Hellboy, Vol. 1: Seed of Destruction and Wake the Devil",Mike Mignola,"Mignola, Mike",John Byrne,1593079109,9.78159E+12,4,4.43,288,2008,2008,,10/18/11,,,read
Field & Stream: The Complete Hunter,Doug Painter,"Painter, Doug","Philip Bourjaily, Thomas McIntyre, Bob Robb, J. B. Robinson, Bill Tarrant",1585743135,9.78159E+12,0,4.14,512,2001,2001,,10/11/11,to-read,to-read (#66),to-read
Roald Dahl's Book of Ghost Stories,Roald Dahl,"Dahl, Roald",,374251312,9.78037E+12,3,3.64,242,1983,1983,,10/2/11,,,read
"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch,"Pötzsch, Oliver","Lee Chadeayne, Sabine Marić",,,0,3.75,448,2010,2008,,10/1/11,to-read,to-read (#65),to-read
White Noise,Don DeLillo,"DeLillo, Don",,140283307,9.78014E+12,0,3.86,310,1999,1985,,9/23/11,to-read,to-read (#64),to-read
The Postman Always Rings Twice,James M. Cain,"Cain, James M.",,752861743,9.78075E+12,0,3.76,116,2010,1934,,9/21/11,to-read,to-read (#63),to-read
Squadron Supreme,Mark Gruenwald,"Gruenwald, Mark","Tom DeFalco, Mike Carlin, John Buscema, Bob Hall, Paul Neary, Paul  Ryan",,,0,4,352,2005,1997,,9/7/11,to-read,to-read (#62),to-read
The Leftovers,Tom Perrotta,"Perrotta, Tom",,312358342,9.78031E+12,0,3.43,355,2011,2011,,9/7/11,to-read,to-read (#61),to-read
"Hellboy, Vol. 1: Seed of Destruction",Mike Mignola,"Mignola, Mike",,1593070942,9.78159E+12,0,4.15,128,2004,1994,,8/24/11,to-read,to-read (#60),to-read
Frank Miller's Ronin,Frank Miller,"Miller, Frank",,930289218,9.78093E+12,3,3.66,302,1995,1983,,8/11/11,,,read
Wolverine: Origin,Paul Jenkins,"Jenkins, Paul","Joe Quesada, Bill Jemas, Andy Kubert, Richard Isanove",1417639091,9.78142E+12,0,3.97,0,2002,2001,,8/11/11,to-read,to-read (#59),to-read
Kingdom Come,Mark Waid,"Waid, Mark","Alex Ross, Todd Klein",1563893304,9.78156E+12,5,4.26,231,1997,1996,,8/11/11,,,read
Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,"Morrison, Grant",Dave McKean,1401204252,9.7814E+12,0,4.1,216,2005,1989,,8/11/11,to-read,to-read (#58),to-read
"The League of Extraordinary Gentlemen, Vol. 1",Alan             Moore,"Moore, Alan",,1563898586,9.78156E+12,4,3.95,192,1999,2000,,8/11/11,,,read
"Preacher, Volume 1: Gone to Texas",Garth Ennis,"Ennis, Garth",Steve Dillon,,9.78156E+12,4,4.16,336,1996,1995,,8/11/11,,,read
Ghost World,Daniel Clowes,"Clowes, Daniel",,1560974273,9.78156E+12,3,3.82,80,2001,1998,,8/11/11,,,read
Batman: The Long Halloween,Jeph Loeb,"Loeb, Jeph",,1563894696,9.78156E+12,4,4.34,376,1999,1997,,8/11/11,,,read
"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,"Vaughan, Brian K.",Pia Guerra,1563899809,9.78156E+12,0,4.08,130,2003,2003,,8/11/11,to-read,to-read (#57),to-read
Welcome to Lovecraft (Locke & Key #1),Joe Hill,"Hill, Joe","Gabriel Rodríguez, Robert Crais",1600102379,9.7816E+12,0,4.15,168,2013,2008,,8/11/11,to-read,to-read (#56),to-read
Men and Cartoons: Stories,Jonathan Lethem,"Lethem, Jonathan",,1400076803,9.7814E+12,0,3.45,229,2005,2004,,7/27/11,to-read,to-read (#55),to-read
"Wild Cards (Wild Cards, #1)",George R.R. Martin,"Martin, George R.R.","Walter Jon Williams, Melinda M. Snodgrass, Lewis Shiner, Victor Milán, Stephen Leigh, John J.  Miller, Edward Bryant, Brian Bolland, Mike Zeck, Howard Waldrop, Roger Zelazny, Leanne C. Harper",1596872829,9.7816E+12,0,3.69,432,2007,1986,,7/27/11,to-read,to-read (#54),to-read
Soon I Will Be Invincible,Austin Grossman,"Grossman, Austin",,375424865,9.78038E+12,0,3.67,287,2007,2007,,7/27/11,to-read,to-read (#53),to-read
"Innocent (Kindle County Legal Thriller, #8)",Scott Turow,"Turow, Scott",,446562424,9.78045E+12,0,3.99,407,2010,2010,,7/7/11,to-read,to-read (#52),to-read
The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,375759239,9.78038E+12,0,3.83,192,2002,1898,,6/7/11,to-read,to-read (#51),to-read
"The Early Stories, 1953-1975",John Updike,"Updike, John",,141016086,9.78014E+12,0,4.16,864,2005,2003,,6/7/11,to-read,to-read (#50),to-read
The Third Policeman,Flann O'Brien,"O'Brien, Flann",Denis Donoghue,156478214X,9.78156E+12,0,3.97,200,2002,1967,,6/7/11,to-read,to-read (#49),to-read
Mystery Train: Images of America in Rock 'n' Roll,Greil Marcus,"Marcus, Greil",,452278368,9.78045E+12,0,4.04,336,1997,1975,,6/7/11,to-read,to-read (#48),to-read
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,"Klosterman, Chuck",,743264460,9.78074E+12,0,3.85,245,2006,2005,,6/7/11,to-read,to-read (#47),to-read
Like Punk Never Happened: Culture Club and the New Pop,Dave Rimmer,"Rimmer, Dave",,571137393,9.78057E+12,0,3.82,196,1985,1985,,6/7/11,to-read,to-read (#46),to-read
"Chew, Vol. 1: Taster's Choice",John Layman,"Layman, John",Rob Guillory,1607061597,9.78161E+12,0,3.96,128,2009,2009,,6/7/11,to-read,to-read (#45),to-read
A Child Across the Sky,Jonathan Carroll,"Carroll, Jonathan",,385265352,9.78039E+12,0,3.88,215,1990,1989,,6/7/11,to-read,to-read (#44),to-read
Inherent Vice,Thomas Pynchon,"Pynchon, Thomas",,1594202249,9.78159E+12,0,3.8,369,2009,2009,,4/23/11,to-read,to-read (#43),to-read
Hamlet's BlackBerry: A Practical Philosophy for Building a Good Life in the Digital Age,William  Powers,"Powers, William",,61687162,9.78006E+12,0,3.59,267,2010,2010,,4/8/11,to-read,to-read (#42),to-read
Punching Out: One Year in a Closing Auto Plant,Paul Clemens,"Clemens, Paul",,385521154,9.78039E+12,0,3.47,288,2011,2011,,3/3/11,to-read,to-read (#41),to-read
The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark,Robert K. Elder,"Elder, Robert K.",,1556528256,9.78156E+12,0,3.6,304,2011,2011,,3/1/11,to-read,to-read (#40),to-read
How to Write a Sentence: And How to Read One,Stanley Fish,"Fish, Stanley",,61840548,9.78006E+12,0,3.48,165,2011,2011,,2/3/11,to-read,to-read (#38),to-read
The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,,,5,3.86,213,2005,1930,,2/22/08,,,read
My Gun Is Quick (Mike Hammer #2),Mickey Spillane,"Spillane, Mickey",,451135520,9.78045E+12,0,3.73,191,1950,1950,,1/20/11,to-read,to-read (#37),to-read
You Might Be a Zombie and Other Bad News,Cracked.com,"Cracked.com, Cracked.com",Daniel  O'Brien,452296390,9.78045E+12,0,3.83,295,2011,2011,,12/22/10,to-read,to-read (#35),to-read
Animal Farm,George Orwell,"Orwell, George",,9799644828,,0,4.02,207,2006,1945,,10/15/08,to-read,to-read (#4),to-read
"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,"Christie, Agatha",,1579126243,9.78158E+12,0,4.03,207,2006,1936,,11/19/10,to-read,to-read (#34),to-read
The Big Con: The Story of the Confidence Man,David W. Maurer,"Maurer, David W.",Lucy Sante,385495382,9.78039E+12,0,3.82,315,1999,1940,,11/3/10,to-read,to-read (#33),to-read
Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,"Swanson, James L.",,60518502,9.78006E+12,0,4.17,444,2007,2006,,10/13/10,to-read,to-read (#32),to-read
The Historian,Elizabeth Kostova,"Kostova, Elizabeth",,751537284,9.78075E+12,0,3.8,704,2005,2005,,10/6/10,to-read,to-read (#31),to-read
Watchers,Dean Koontz,"Koontz, Dean",,,,0,4.19,624,2003,1987,,10/6/10,to-read,to-read (#30),to-read
Squirrel Seeks Chipmunk,David Sedaris,"Sedaris, David",Ian Falconer,316038393,9.78032E+12,0,3.39,163,2010,2010,,10/6/10,to-read,to-read (#29),to-read
Wild Stories: The Best of Men's Journal,Jim Harrison,"Harrison, Jim","Sebastian Junger, P.J. O'Rourke, Rick Bass, Thomas McGuane, George Plimpton, Hampton Sides, Doug Stanton, Tim Cahill, Mark Bowden",1400048303,9.7814E+12,0,4.32,608,2003,2002,,7/12/10,to-read,to-read (#28),to-read
The Undertaking: Life Studies from the Dismal Trade,Thomas Lynch,"Lynch, Thomas",,140276238,9.78014E+12,0,3.86,202,1998,1997,,7/12/10,to-read,to-read (#27),to-read
"The Prince of Mist (Niebla, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,316044776,9.78032E+12,0,3.8,218,2010,1993,,7/7/10,to-read,to-read (#26),to-read
The Long Ships,Frans G. Bengtsson,"Bengtsson, Frans G.",Michael   Meyer,000612609X,9.78001E+12,0,4.27,478,1994,1941,,7/7/10,to-read,to-read (#25),to-read
"The Rise of Theodore Roosevelt (Theodore Roosevelt, #1)",Edmund  Morris,"Morris, Edmund",,,,0,4.22,816,2001,1979,,3/25/10,to-read,to-read (#24),to-read
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,038549081X,9.78039E+12,4,4.15,311,1998,1985,,3/22/10,,,read
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,,,2,3.94,489,2006,2003,,3/22/10,,,read
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,"Schlosser, Eric",,60838582,9.78006E+12,3,3.75,383,2005,2001,,3/22/10,,,read
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Alexie, Sherman",Ellen Forney,316013684,9.78032E+12,3,4.06,230,2007,2007,,12/15/08,,,read
"The Keep (Adversary Cycle, #1)",F. Paul Wilson,"Wilson, F. Paul",,765357054,9.78077E+12,0,3.99,403,2006,1981,,3/12/10,to-read,to-read (#23),to-read
The Glass Castle,Jeannette Walls,"Walls, Jeannette",,074324754X,9.78074E+12,0,4.33,288,2006,2005,,3/11/10,to-read,to-read (#22),to-read
In the Shining Mountains,David    Thomson,"Thomson, David",,553148214,9.78055E+12,0,4.06,272,1981,1979,,2/2/10,to-read,to-read (#21),to-read
The Wilderness Warrior: Theodore Roosevelt and the Crusade for America,Douglas Brinkley,"Brinkley, Douglas",,60565284,9.78006E+12,0,4.07,960,2009,2009,,1/27/10,to-read,to-read (#20),to-read
Yeager: An Autobiography,Chuck Yeager,"Yeager, Chuck",,553256742,9.78055E+12,0,4.24,448,1986,1985,,1/26/10,to-read,to-read (#19),to-read
The Right Stuff,Tom Wolfe,"Wolfe, Tom",,553381350,9.78055E+12,0,4.23,352,2001,1979,,1/26/10,to-read,to-read (#18),to-read
Dune,Frank Herbert,"Herbert, Frank",,,,0,4.29,535,1990,1965,,1/11/10,to-read,to-read (#17),to-read
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,"Brooks, Max",,1400049628,9.7814E+12,0,3.86,272,2003,2003,,1/11/10,to-read,to-read (#16),to-read
Crooked Little Vein,Warren Ellis,"Ellis, Warren",,60723939,9.78006E+12,0,3.81,280,2007,2007,,1/7/10,to-read,to-read (#15),to-read
"The Homecoming (Wonderfully Illustrated Short Pieces, 2)",Ray Bradbury,"Bradbury, Ray",Dave McKean,60859628,9.78006E+12,0,4.03,56,2006,1946,,8/18/09,to-read,to-read (#14),to-read
Wicked Plants: The Weed That Killed Lincoln's Mother and Other Botanical Atrocities,Amy  Stewart,"Stewart, Amy","Briony Morrow-Cribbs, Jonathon Rosen",1565126831,9.78157E+12,0,3.82,236,2009,2009,,8/14/09,to-read,to-read (#13),to-read
Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,"Gaiman, Neil","Andy Kubert, Various",1401223036,9.7814E+12,0,3.98,128,2009,2009,,7/14/09,to-read,to-read (#12),to-read
Confessions of an Advertising Man,David Ogilvy,"Ogilvy, David",Alan Parker,1904915019,9.7819E+12,0,4,208,2004,1963,,6/10/09,to-read,to-read (#11),to-read
Breath,Tim Winton,"Winton, Tim",,374116342,9.78037E+12,0,3.91,218,2008,2008,,6/9/09,to-read,to-read (#10),to-read
One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,,,0,4.12,417,2003,1967,,6/3/09,to-read,to-read (#9),to-read
The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,,,0,4.03,455,2002,1939,,6/3/09,to-read,to-read (#8),to-read
The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,152023984,9.78015E+12,5,4.33,96,2000,1943,,6/3/09,,,read
Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,307347974,9.78031E+12,5,3.97,158,2004,1953,,6/3/09,,,read
High Fidelity,Nick Hornby,"Hornby, Nick",,1573225517,9.78157E+12,4,3.9,323,1996,1995,,6/3/09,,,read
I Was Told There'd Be Cake: Essays,Sloane Crosley,"Crosley, Sloane",,159448306X,9.78159E+12,0,3.47,230,2008,2008,,5/8/09,to-read,to-read (#7),to-read
When You Are Engulfed in Flames,David Sedaris,"Sedaris, David",,316143472,9.78032E+12,0,4.08,323,2008,2008,,5/8/09,to-read,to-read (#6),to-read
The Lodger,Marie Belloc Lowndes,"Lowndes, Marie Belloc",,897332997,9.7809E+12,0,3.67,224,2005,1913,,1/22/09,to-read,to-read (#5),to-read
The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,553383809,9.78055E+12,0,4.3,448,2005,1982,,10/8/08,to-read,to-read (#3),to-read
Welcome to the Monkey House,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,385333501,9.78039E+12,4,4.13,331,2013,1968,,1/14/08,,,read
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,"Junger, Sebastian",,393050327,9.78039E+12,4,4.12,256,1997,1997,,10/3/07,,,read
"The Loo Sanction (Jonathan Hemlock, #2)",Trevanian,"Trevanian, Trevanian",,1400098289,9.7814E+12,5,3.82,304,2005,1973,,10/3/07,,,read
Shibumi,Trevanian,"Trevanian, Trevanian",,1400098033,9.7814E+12,5,4.17,486,2005,1979,,10/3/07,,,read
"The Eiger Sanction (Jonathan Hemlock, #1)",Trevanian,"Trevanian, Trevanian",,,,5,4.05,336,2005,1972,,10/3/07,,,read
The Summer of Katya,Trevanian,"Trevanian, Trevanian",,1400098041,9.7814E+12,3,4.01,288,2005,1983,,10/3/07,,,read
Even Cowgirls Get the Blues,Tom Robbins,"Robbins, Tom",,055334949X,9.78055E+12,5,3.79,365,1990,1976,,10/3/07,,,read
Villa Incognito,Tom Robbins,"Robbins, Tom",,553382195,9.78055E+12,3,3.69,245,2004,2003,,10/3/07,,,read
Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,142000701,9.78014E+12,4,4.08,214,2002,1961,,10/3/07,,,read
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,385333471,9.78039E+12,4,3.97,288,1998,1965,,10/1/07,,,read
Marvel 1602,Neil Gaiman,"Gaiman, Neil","Andy Kubert, Richard Isanove, Peter Sanderson, Todd Klein",785123113,9.78079E+12,4,3.95,248,2006,2003,,10/1/07,,,read
Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,1400078776,9.7814E+12,0,3.85,288,2010,2005,,9/28/07,to-read,to-read (#2),to-read
The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",Alan Lee,618640150,9.78062E+12,4,4.54,1216,2005,1959,,9/27/07,,,read
Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,"Krakauer, Jon",,385488181,9.78039E+12,2,4.04,186,1997,1990,,9/27/07,,,read
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,,,5,4.26,368,1999,1997,,9/27/07,,,read
Into the Wild,Jon Krakauer,"Krakauer, Jon",,385486804,9.78039E+12,4,4.02,207,1997,1996,,9/27/07,,,read
The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,60786507,9.78006E+12,0,4.11,546,2005,1998,,9/27/07,to-read,to-read (#1),to-read
The Halloween Tree,Ray Bradbury,"Bradbury, Ray",,375803017,9.78038E+12,4,3.76,145,2001,1972,,9/27/07,,,read
"Song of Susannah (The Dark Tower, #6)",Stephen  King,"King, Stephen",Darrel Anderson,1416521496,9.78142E+12,3,4,544,2006,2004,,9/25/07,,,read
"Wolves of the Calla (The Dark Tower, #5)",Stephen  King,"King, Stephen",Bernie Wrightson,141651693X,9.78142E+12,5,4.2,960,2006,2003,,9/25/07,,,read
"The Dark Tower (The Dark Tower, #7)",Stephen  King,"King, Stephen",Michael   Whelan,,,4,4.29,1050,2006,2004,,9/25/07,,,read
"Wizard and Glass (The Dark Tower, #4)",Stephen  King,"King, Stephen",Dave McKean,340829788,9.78034E+12,3,4.27,896,2003,1997,,9/25/07,,,read
"The Waste Lands (The Dark Tower, #3)",Stephen  King,"King, Stephen",Ned Dameron,670032565,9.78067E+12,4,4.25,422,2003,1991,,9/25/07,,,read
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,759,2007,2007,,9/25/07,,,read
Timeline,Michael Crichton,"Crichton, Michael",,99244721,9.7801E+12,4,3.87,489,2000,1999,,9/25/07,,,read
Geek Love,Katherine Dunn,"Dunn, Katherine",,375713344,9.78038E+12,3,3.95,348,2002,1989,,9/25/07,,,read
Birds of America: Stories,Lorrie Moore,"Moore, Lorrie",,312241224,9.78031E+12,3,4.09,308,1999,1998,,9/25/07,,,read
The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,140449264,9.78014E+12,5,4.32,1276,2003,1844,,9/25/07,,,read
Mildred Pierce,James M. Cain,"Cain, James M.",,752852043,9.78075E+12,4,3.93,288,2002,1941,,9/25/07,,,read
The Colorado Kid,Stephen  King,"King, Stephen",,843955848,9.78084E+12,3,3.38,178,2005,2005,,9/25/07,,,read
